Tipo,Título,Autor(es),Descripción,Valoración promedio,Fecha de lanzamiento
Libro,Marvel. Quién es quién,Marvel,"Aquí encontrarás a los 40 personajes imprescindibles que todo fan de Marvel debe conocer. Descubre las historias de los amigos y enemigos de Spider-Man, de los Guardianes de la Galaxia y, por supuesto, de los Avengers. Este libro es una mezcla entre storybook y libro guía sobre los héroes más representativos del universo Marvel. Explica de forma sencilla e ilustrada quién es cada personaje, qué habilidades tiene y cuál es su historia, para orientar al lector dentro del vasto universo.",No disponible,
Libro,Avengers. 60 años poderosos,Marvel,"Visión, Black Panther, Luke Cage, la Bruja Escarlata, Yellow Jacket y Ms. Marvel... Todos son los Avengers, y están aquí reunidos. Sucedería tarde o temprano. Tras años de personajes solitarios, Marvel juntó a los Héroes más poderosos de la Tierra en un supergrupo: los Avengers. Al principio estos Héroes no formaban una familia, como los Cuatro Fantásticos, sino una alianza de personalidades muy diferentes entre sí, reunidas casi por accidente para enfrentarse a un enemigo en común. La leyenda de estos Héroes comenzó en 1963 con Thor, Iron Man, Hulk, Ant-Man y Wasp. El Capitán América se unió casi de inmediato, y así se conformó el equipo original. Desde entonces, los Avengers han cambiado de integrantes muchas veces. Han discutido, amado, traicionado, viajado a través del tiempo y el espacio, luchado contra enemigos y salvado al mundo. Su historia es un apasionante drama lleno de ciencia ficción, aventura, romance y tragedia que nos ha mantenido cautivos desde el comienzo.",No disponible,
Libro,Marvel Universe Deadpool & Wolverine,Marvel Comics,"Marvel Adventures Super Heroes (2010) 4, Marvel Universe Ultimate Spider-Man: Web Warriors 8, Free Comic Book Day 2009: Wolverine, Marvel Adventures Spider-Man (2010) 3 [research]",4,
Libro,El libro de marvel,DK,"Si quieres comprender el universo Marvel en toda su complejidad, El libro de Marvel es el único libro que necesitas. Es una exploración única del inmenso e interconectado multiverso de los cómics de Marvel desde su nacimiento. Meticulosamente investigado y escrito de forma magistral, El libro de Marvel está lleno de brillantes infografías y unos ensayos precisos que aportan luz a las innumerables maravillas del universo Marvel. Desde icónicos Súper Héroes como los Avengers, Spider-Man y Black Panther, pasando por la revolucionaria tecnología como la armadura de Iron Man y el Helitransporte de la agencia S.H.I.E.L.D., y llegando hasta magníficos villanos como Thanos y Loki. Este libro de Marvel en español explora los conceptos clave, personajes y eventos que han definido y dado forma al universo Marvel durante los últimos 80 años. Descubre todos los secretos del mundo Marvel El contenido del libro se divide en diferentes áreas temáticas clave: El Multiverso, Ciencia y Tecnología, Guerra y Paz, Fuerzas Cósmicas, Mágico y Sobrenatural, y Realidades Alternativas, las cuales forman las bases del universo Marvel. El fenómeno multimedia que conocemos como Marvel empezó en el invierno de 1961, cuando el editor y guionista de cómics Stan Lee y su dibujante estrella Jack Kirby crearon un cómic de Súper Héroes después de seis años sin crear cómics. Su maniobra revolucionaría una industria que salía lentamente de una cruda recesión, pero que en el pasado había disfrutado de gran popularidad. Un fascinante libro que narra la historia desde cuando surgieron los primeros cómics en 1933, su despegue en 1938 con la creación de los Súper Héroes y su desarrollo hasta el día de hoy. Conoce los detalles sobre cómo nacen Súper Héroes como los Guardianes de la Galaxia, Miles el Spiderman negro, Ojo de Halcón o la Viuda Negra. ¡El libro de Marvel es un revelador mapa que nos abre las puertas a un completo universo desconocido que ningún fan de Marvel debería perderse! Descúbrelo a través de los siguientes capítulos: • Un multiverso de maravillas • Guerra y paz • Superciencia y maravillas tecnológicas • Mágico y sobrenatural • Fuerzas cósmicas y aventuras espaciales • Mundos alternativos y líneas temporales divergentes El libro de Marvel (Spanish Edition) es la edición en español de The Marvel Book y pertenece a la sección de nuestro catálogo reservado para todos aquellos apasionados de los cómics y de los Súper Héroes de Marvel. No te pierdas ninguno de nuestros libros de Marvel comics: guías, enciclopedias y diccionarios que te ayudarán a conocer todos los secretos de tus personajes favoritos y te descubrirán un universo nuevo y desconocido. © 2020 MARVEL",No disponible,
Libro,Marvel. Mitos y leyendas,Marvel,"El Universo Marvel está lleno de historias que lo hacen extenso y vibrante. Mitos y leyendas que invocan lo épico. Viaja al albor del tiempo y sé testigo del nacimiento de los Celestials y sus aguerridas creaciones, los Eternals y los Deviants. Descubre el panteón de Thor, los asgardianos y sus olímpicos rivales. Conoce los orígenes arcanos del hechicero supremo, Doctor Strange. Asómbrate con las nuevas y viejas deidades de Wakanda. Celebra el ascenso de Atlantis y su protector real, Namor, el Hombre Submarino. Estas son las sagas espectaculares y los magníficos relatos que definen y sostienen a este universo.",No disponible,
Libro,Spider-Man/Iron Man: Marvel Team-Up,"Gerry Conway, Bill Mantlo, David Michelinie, Tony Isabella & More","Collecting Marvel Team-Up (1972) #9-11, #48-51, #72, #110 and #145. Web-head meets Shell-head in a collection of their greatest Marvel team-ups! When the Avengers are captured, Spider-Man and Iron Man find themselves caught in a tussle through time between Kang the Conqueror and Zarrko the Tomorrow Man  a saga that draws in the Human Torch and the Inhumans! Spidey and Iron Man will need a little help from Doctor Strange if they want to survive the mind-bending powers of the Wraith! But the villain has a friend, too: the deadly Whiplash! Things get explosive when the volcanic menace Magma erupts into our heroes lives! And its a team-up with a difference as Jim Rhodes in the armor joins a black-costumed web-slinger in battle with Blacklash! Discover why Spidey and Iron Man are two great tastes that taste great together!",No disponible,
Libro,El universo cinematográfico de Marvel Cronología oficial (The Marvel Cinematic Universe An Official Timeline),Amy Ratcliffe,"La enciclopedia definitiva que ordena de forma cronológica todas las películas y series del Universo Cinematográfico de Marvel y te ayudará a entender qué ocurrió, cuándo, dónde y por qué. Tierras y universos distintos, saltos temporales, tramas que se cruzan, realidades alternativas... Con tantas películas, series, personajes e historias distintas, la cronología y el hilo argumental del Universo Cinematográfico de Marvel son cada vez más y más complejos de seguir. ¡No desesperes! Esta cronología oficial, creada en colaboración con Marvel Studios, te brinda todas las respuestas para comprender cómo empezó todo y entender cada una de las fases de la saga. Sigue la historia del UCM, desde el Big Bang hasta las consecuencias del Blip, y conoce más sobre los orígenes y las características de sus héroes, la evolución de las armaduras de Iron Man, la búsqueda de las Gemas del Infinito o la formación del Multiverso. Con cientos de fotografías de las películas y series del UCM, infografías y líneas temporales. Incluye un detallado índice para encontrar fácilmente la cronología y los saltos temporales, y conocer los escenarios, los personajes y los sucesos principales. Un libro imprescindible para los amantes del universo Marvel que desvela los secretos de la mayor saga de superhéroes jamás creada. ------------------------------------------------ Become a master of the Marvel Cinematic Universe! The Marvel Cinematic Universe (MCU) is vast, incredibly varied, and richly complex. Different worlds, different timelines, countless characters. This is the guide to that universe. Created in close collaboration with Marvel Studios, it will frame the MCU’s biggest events: what happened, when, where, and why. Follow the entire story of the MCU from before the Big Bang to the Blip and beyond. Along the way, learn more about the evolution of the Iron Man armors, the hunt for the Infinity Stones, and the formation of The Multiverse. The Marvel Cinematic Universe An Official Timeline features: Hundreds of high-quality movie stills. A detailed index so fans can quickly research the timelines of key props, characters, and story arcs. A treasured keepsake for any movie buff, filled with exclusive infographics, illuminating timelines, and amazing movie stills, this book will have pride of place on any MCU fan’s shelf.",No disponible,
Libro,The Periodic Table of Marvel,Melanie Scott,"Discover the elemental properties of iconic Marvel Comics characters. From the volatile gamma-irradiated Hulk to the stable Super-Soldier Captain America, and the technologically enhanced Iron Man to the cosmically charged Silver Surfer, the Marvel Comics Universe boasts a diverse array of heroes and villains. Whether mutants or Asgardians, Celestials or Inhumans, The Periodic Table of Marvel expertly classifies key and lesser known Marvel characters to reveal the properties that bind them, the catalysts that created them, the chain reactions that energize them, and the underlying structures and formulas that underpin the Marvel Universe. With more than 130 character profiles written by a Marvel expert, beautiful comic book art, and Marvel's seal of approval, The Periodic Table of Marvel reveals the fascinating and surprising connections between the most incredible heroes and villains ever created. © 2021 MARVEL",No disponible,
Libro,The Lord of the Rings,J. R. R. Tolkien,"For the first time ever, a very special edition of the classic masterpiece, with the complete text and illustrated throughout by the author himself.",No disponible,
Libro,The Lord of the Rings,John Ronald Reuel Tolkien,"In time for the golden anniversary of the arrival of part one of Tolkien's epic masterpiece on these shore comes a spectacular new edition of ""The Lord of the Rings."" The text is fully correctedQunder the supervision of Christopher TolkienQto meet the author's exacting wishes, and includes two large-format fold-out maps, a ribbon placemarker, and exceptionally elegant packaging. 0-618-51765-0$100.00 / Houghton Mifflin",4.5,
Libro,El hobbit,John Ronald Ruelen Tolkien,No disponible,No disponible,
Libro,The Lord of the Rings#1: Sembilan Pembawa Cincin (The Lord of the Rings Fellowship),J.R.R. Tolkien,"Di sebuah desa yang tenang di Shire, seorang hobbit muda bernama Frodo Baggins mendapat warisan cincin bertuah yang menyimpan kekuatan dahsyat. Agar cincin utama itu tidak jatuh ke tangan Sauron yang jahat, Frodo mesti mengadakan perjalanan panjang dan penuh bahaya ke gunung api di Mordor, untuk memusnahkan cincin tersebut. Bersama kedelapan sahabatnya, ia berangkat. Dipimpin oleh Gandalf sang penyihir, kesembilan pembawa cincin itu memulai perjalanan. Tapi Sauron dan para anak buahnya tidak tinggal diam.",No disponible,
Libro,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,"All three parts of the epic masterpiece The Lord of the Rings – The Fellowship of the Ring, The Two Towers & The Return of the King – available as one download, featuring the definitive edition of the text, hyperlinked footnotes and page references, and 3 maps including a detailed map of Middle-earth.",4.5,
Libro,El retorno del rey,J. R. R. Tolkien,No disponible,No disponible,
Libro,The Lord of the Rings,Ernest Mathijs,"Bringing together leading scholars in the fields of media and film studies to explore the various strategies and implications underlying the global presence of 'Lord of the Rings', this book covers different national contexts and presents a lively and diverse combination of textual, historical and empirical study.",5,
Libro,The Lord of the Rings,J. R. R. Tolkien,"Begin your journey into Middle-earth. A New Legend Begins on Prime Video, in The Lord of the Rings: The Rings of Power. This one-volume, paperback edition includes The Fellowship of the Ring, The Two Towers, and The Return of the King, together with the Appendices in full. Sauron, the Dark Lord, has gathered to him all the Rings of Power - the means by which he intends to rule Middle-earth. All he lacks in his plans for dominion is the One Ring - the ring that rules them all - which has fallen into the hands of the hobbit, Bilbo Baggins. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as the Ring is entrusted to his care. He must leave his home and make a perilous journey across the realms of Middle-earth to the Crack of Doom, deep inside the territories of the Dark Lord. There he must destroy the Ring forever and foil the Dark Lord in his evil purpose.",No disponible,
Libro,Understanding the Lord of the Rings,"Rose A. Zimbardo, Neil D. Isaacs","Publisher's description: When first published, The Lord of the Rings stood far from the mainstream: no one had seen anything like it for decades. Tolkien's almost stridently antimodern tale needed valiant defenders, vocal admirers who understood its sources and relished its monumental scale. While such champions of modernism as Edmund Wilson mocked Tolkien's archaic structure and language, W.H. Auden -- a great modernist poet in his own right -- rose to his defense with a spirited essay on the true nature of the Hero Quest. Edmund Fuller's essay collected here discusses the nature of the fairy tale, returning to the roots of the term to remove the treacle of Disney and restore the value of realistic enchantment. Tolkien's friend C.S. Lewis takes up the question of why, if you have a serious comment to make about real life, you would drape it in a never-never land of your own. He shrewdly argues that it is because real life does have mythic and heroic qualities -- in abundance. This collection also includes, among others, essays by Marion Zimmer Bradley, Verlyn Flieger, Paul Kocher, Jane Chance, and each of the editors, as well as a brand-new essay by Tom Shippey that shows us how to process all this vast learning, adding to it the many delights of the film versions of Tolkien's epic masterpiece, so we can relish his achievement all the more.",3.5,
Libro,"The Fellowship of the Ring (The Lord of the Rings, Book 1)",J. R. R. Tolkien,The first part of J. R. R. Tolkien’s epic adventure THE LORD OF THE RINGS ‘A most remarkable feat’ Guardian,4.5,
Película,Harry Potter and the Philosopher's Stone,,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",7.913,2001-11-16
Película,Harry Potter and the Half-Blood Prince,,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",7.694,2009-07-15
Película,Harry Potter and the Prisoner of Azkaban,,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",8.019,2004-05-31
Película,Harry Potter and the Deathly Hallows: Part 2,,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",8.098,2011-07-12
Película,Harry Potter and the Chamber of Secrets,,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",7.721,2002-11-13
Película,Harry Potter and the Order of the Phoenix,,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",7.682,2007-07-08
Película,Harry Potter and the Goblet of Fire,,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",7.816,2005-11-16
Película,Harry Potter and the Deathly Hallows: Part 1,,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",7.755,2010-11-17
Película,Harry Potter 20th Anniversary: Return to Hogwarts,,"An enchanting making-of story told through all-new in-depth interviews and cast conversations, inviting fans on a magical first-person journey through one of the most beloved film franchises of all time.",7.3,2022-01-01
Película,50 Greatest Harry Potter Moments,,"To mark the release two weeks ago of the eighth and final movie in the series, Robbie Coltrane narrates a countdown of the movie franchise's best moments. From Harry's first meeting with Ron and Hermione aboard the Hogwarts Express through to magical mysteries.",7.3,2011-07-27
Película,Harry Potter: A History Of Magic,,"A thrilling journey through legends, belief and folklore, this film goes behind the scenes with the British Library as they search to tell that story through objects in their collection, in an ambitious new exhibition: Harry Potter: A History Of Magic.  J.K. Rowling, who is lending unseen manuscripts, drawings and drafts from her private archives (which will sit alongside treasures from the British Library, as well as original drafts and drawings from Jim Kay) talks about some of the personal items she has lent to the exhibition and gives new insight into her writing, looking at some of the objects from the exhibition that have fired her imagination.",7.3,2017-10-28
Película,The Magic Touch of Harry Potter,,A 2004 documentary on the first three “Harry Potter” films detailing the behind-the-scenes journey of making them.,7.769,2004-06-11
Película,Daniel Radcliffe: Being Harry Potter,,Made-for-television documentary about Daniel Radcliffe and his role as Harry Potter.,6.1,2012-10-10
Película,Phantastische Harry Potter Momente - Das große SAT.1 Spezial,,,6.6,2021-10-31
Película,Harry Potter : les secrets du phénomène,,"Immerse yourself in the magic of Harry Potter by uncovering the secrets behind the global bestseller. Over 20 years later, the wizards of Hogwarts remain immensely popular among audiences, transcending generations. To grasp the reasons behind such success, this documentary will introduce you to the most extravagant fans who perpetuate the phenomenon.",7.8,2023-04-26
Película,Discovering the Real World of Harry Potter,,"Explore the myths and legends that inhabit the real world of Harry Potter. Follow award-winning documentary filmmakers as they offer insights to witches, wizards, Greek gods, ancient Celts, ghosts, magical creatures, alchemy, and ancient spells. Narrated by British actor Hugh Laurie, this fascinating documentary brings new dimensions to the historical and scientific world behind the Harry Potter series.",6.5,2001-12-10
Película,Harry Potter: A Spirit Conspiracy?,,The Occult Agenda documentary series is designed to awaken the church and non-believers alike to the spiritual warfare happening in the world today. Part I focuses on the Harry Potter phenomenon that has swept the world since author J.K. Rowling introduced her best-selling book series. But is Potter-mania merely the result of imaginative writing and clever marketing? Or could there be a hidden power behind the craze that has cast a spell on adults and children alike?,5.9,2005-09-22
Película,J.K. Rowling and the Birth of Harry Potter,,"In this fascinating (unauthorized) biographical documentary, you'll get the inside scoop on the creative force behind one of the greatest publishing phenomena in the last 100 years -- J.K. Rowling, author of the Harry Potter series of books. Explore Rowling's meteoric rise from obscurity into the ranks of the world's richest women (via her books), and visit the people and places that played a significant role in her life.",6.8,2004-12-07
Película,Harry Potter: The Making of Diagon Alley,,An inside look into the creation of Universal Studio's Diagon Alley attraction.,5.3,2014-06-30
Película,Schottland - Auf den Spuren von Harry Potter,,,0.0,
Película,Marvel,,The quintessential student film of 1969.,6.5,1969-05-20
Película,Captain Marvel,,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",6.82,2019-03-06
Película,The Marvels,,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",6.1,2023-11-08
Película,Pokémon the Movie: Volcanion and the Mechanical Marvel,,"Ash meets the Mythical Pokémon Volcanion when it crashes down from the sky, creating a cloud of dust—and a mysterious force binds the two of them together! Volcanion despises humans and tries to get away, but it’s forced to drag Ash along as it continues its rescue mission. They arrive in a city of cogs and gears, where a corrupt official has stolen the ultimate invention: the Artificial Pokémon Magearna, created 500 years ago. He plans to use its mysterious power to take control of this mechanical kingdom! Can Ash and Volcanion work together to rescue Magearna? One of the greatest battles in Pokémon history is about to unfold!",6.729,2016-07-16
Película,LEGO Marvel Avengers: Code Red,,"The Avengers gather to celebrate their latest victory, but their celebration is quickly interrupted by the mysterious disappearance of Black Widow's father, Red Guardian. As the Avengers investigate, they discover that Red Guardian isn't the only one missing when they meet a dangerous new foe quite unlike anything they've ever encountered before.",6.658,2023-10-26
